iter	MultiClass
0	1.331557782
1	1.296364037
2	1.262592167
3	1.237815425
4	1.219074012
5	1.198160901
6	1.181422692
7	1.169562661
8	1.16003703
9	1.149399812
10	1.140739525
11	1.133589899
12	1.128116604
13	1.119498436
14	1.114542562
15	1.110090581
16	1.106126918
17	1.099621241
18	1.09597659
19	1.092935866
20	1.089241852
21	1.085975833
22	1.083286389
23	1.078608641
24	1.07524396
25	1.072976116
26	1.070425334
27	1.068557637
28	1.066686822
29	1.064866893
30	1.062851847
31	1.060768627
32	1.058598791
33	1.056932891
34	1.055125443
35	1.052860509
36	1.05126026
37	1.049765728
38	1.048348898
39	1.046825472
40	1.045393565
41	1.04397985
42	1.042413692
43	1.040668669
44	1.039484575
45	1.038412193
46	1.037185529
47	1.036102842
48	1.034464618
49	1.033385766
50	1.03216431
51	1.031343486
52	1.030124622
53	1.029189906
54	1.027940186
55	1.027143115
56	1.026187204
57	1.025151834
58	1.024050379
59	1.022726825
60	1.021449604
61	1.02050774
62	1.019908231
63	1.019131348
64	1.018050856
65	1.017048767
66	1.016365181
67	1.015388245
68	1.013262363
69	1.012450767
70	1.011743278
71	1.010971406
72	1.010541288
73	1.009779106
74	1.00839301
75	1.007455373
76	1.006876259
77	1.00609064
78	1.005018614
79	1.004088867
80	1.003264776
81	1.002081653
82	1.001404175
83	1.000797029
84	1.000043479
85	0.9993340463
86	0.9986813915
87	0.998101006
88	0.9973433333
89	0.9965240314
90	0.9959282606
91	0.9954250862
92	0.9947670761
93	0.993883611
94	0.9932426108
95	0.9927111073
96	0.9919096459
97	0.991133543
98	0.9905491364
99	0.9898885953
100	0.9893558174
101	0.9888414686
102	0.988173686
103	0.987569549
104	0.9871029816
105	0.9866781582
106	0.9859716525
107	0.9854933838
108	0.9849395232
109	0.9841247725
110	0.9835890428
111	0.9830578517
112	0.9814599195
113	0.9808653385
114	0.9802378855
115	0.97975756
116	0.9792025299
117	0.9783237911
118	0.9777829673
119	0.9771218534
120	0.9765194486
121	0.9758941417
122	0.975358031
123	0.9750562294
124	0.9746446977
125	0.9741416432
126	0.9735895067
127	0.973175915
128	0.972640681
129	0.9722311713
130	0.9718544657
131	0.9712552391
132	0.9707553254
133	0.9701617515
134	0.9696074284
135	0.9690379185
136	0.9686464728
137	0.9681774367
138	0.9676718981
139	0.9671423056
140	0.9668422963
