iter	Passed	Remaining
0	92	46344
1	121	30138
2	150	24935
3	181	22448
4	211	20934
5	241	19911
6	271	19095
7	300	18497
8	330	18032
9	363	17833
10	394	17539
11	426	17326
12	455	17061
13	484	16806
14	513	16613
15	545	16488
16	571	16231
17	597	16007
18	625	15833
19	649	15592
20	677	15464
21	708	15398
22	738	15318
23	766	15211
24	792	15053
25	815	14863
26	844	14798
27	865	14587
28	886	14400
29	908	14232
30	934	14134
31	962	14083
32	991	14026
33	1017	13942
34	1045	13887
35	1066	13752
36	1089	13637
37	1118	13602
38	1148	13575
39	1173	13493
40	1198	13418
41	1222	13334
42	1246	13248
43	1273	13195
44	1297	13116
45	1325	13084
46	1347	12988
47	1377	12970
48	1397	12865
49	1420	12787
50	1445	12726
51	1470	12668
52	1500	12659
53	1528	12620
54	1561	12632
55	1585	12568
56	1616	12559
57	1642	12515
58	1672	12500
59	1704	12502
60	1732	12470
61	1761	12441
62	1787	12399
63	1818	12386
64	1844	12346
65	1870	12298
66	1894	12244
67	1919	12195
68	1949	12175
69	1971	12108
70	1992	12042
71	2017	11991
72	2040	11937
73	2066	11893
74	2090	11847
75	2114	11795
76	2138	11747
77	2160	11689
78	2188	11660
79	2213	11623
80	2240	11590
81	2261	11526
82	2281	11460
83	2308	11430
84	2332	11388
85	2352	11325
86	2379	11296
87	2404	11258
88	2437	11254
89	2467	11242
90	2491	11198
91	2521	11184
92	2548	11154
93	2579	11139
94	2606	11113
95	2634	11088
96	2664	11069
97	2690	11036
98	2713	10991
99	2738	10953
100	2766	10929
101	2791	10890
102	2819	10866
103	2839	10812
104	2863	10772
105	2886	10728
106	2910	10691
107	2935	10654
108	2957	10610
109	2979	10565
110	3005	10532
111	3029	10493
112	3057	10471
113	3080	10429
114	3103	10390
115	3127	10351
116	3151	10317
117	3179	10293
118	3204	10258
119	3229	10226
120	3255	10195
121	3283	10174
122	3310	10145
123	3330	10098
124	3352	10058
125	3380	10033
126	3404	9998
127	3426	9959
128	3452	9928
129	3475	9891
130	3497	9850
131	3522	9819
132	3548	9791
133	3573	9761
134	3599	9730
135	3628	9712
136	3651	9675
137	3677	9646
138	3701	9613
139	3726	9582
140	3750	9549
141	3772	9510
142	3792	9468
143	3822	9450
144	3847	9420
145	3874	9394
146	3900	9367
147	3928	9342
148	3948	9300
149	3971	9266
150	3993	9230
151	4018	9201
152	4041	9165
153	4060	9122
154	4080	9081
155	4104	9051
156	4126	9015
157	4149	8980
158	4173	8949
159	4198	8922
160	4225	8897
161	4253	8874
162	4284	8858
163	4320	8852
164	4360	8853
165	4393	8840
166	4421	8815
167	4453	8800
168	4483	8781
169	4509	8753
170	4538	8731
171	4563	8702
172	4591	8678
173	4616	8649
174	4643	8623
175	4676	8609
176	4704	8584
177	4731	8559
178	4763	8541
179	4786	8508
180	4811	8479
181	4836	8451
182	4863	8424
183	4891	8400
184	4922	8380
185	4954	8363
186	4980	8336
187	5003	8304
188	5027	8272
189	5051	8241
190	5077	8214
191	5106	8192
192	5135	8169
193	5167	8151
194	5194	8124
195	5220	8097
196	5243	8064
197	5268	8036
198	5296	8011
199	5323	7985
200	5347	7954
201	5374	7929
202	5399	7899
203	5425	7872
204	5449	7842
205	5476	7815
206	5500	7785
207	5523	7753
208	5549	7726
209	5576	7700
210	5599	7669
211	5623	7638
212	5649	7611
213	5673	7581
214	5699	7555
215	5727	7530
216	5758	7509
217	5787	7486
218	5816	7463
219	5849	7444
220	5882	7426
221	5913	7404
222	5944	7384
223	5972	7359
224	6004	7338
225	6035	7317
226	6066	7295
227	6094	7270
228	6120	7243
229	6146	7215
230	6176	7192
231	6205	7168
232	6234	7144
233	6262	7118
234	6288	7091
235	6312	7061
236	6340	7035
237	6363	7004
238	6393	6982
239	6421	6956
240	6447	6928
241	6474	6902
242	6504	6879
243	6531	6853
244	6561	6828
245	6585	6799
246	6613	6774
247	6635	6742
248	6664	6718
249	6688	6688
250	6714	6660
251	6744	6637
252	6775	6614
253	6800	6586
254	6828	6560
255	6852	6530
256	6881	6506
257	6909	6481
258	6941	6458
259	6967	6431
260	6997	6407
261	7024	6380
262	7045	6349
263	7068	6318
264	7094	6291
265	7122	6265
266	7147	6237
267	7172	6209
268	7200	6183
269	7223	6153
270	7244	6122
271	7269	6093
272	7300	6070
273	7324	6041
274	7348	6012
275	7370	5981
276	7393	5952
277	7421	5926
278	7442	5894
279	7466	5866
280	7488	5836
281	7512	5807
282	7537	5779
283	7568	5756
284	7597	5731
285	7622	5703
286	7652	5679
287	7674	5648
288	7695	5618
289	7720	5591
290	7742	5561
291	7770	5535
292	7807	5515
293	7830	5486
294	7854	5457
295	7877	5428
296	7907	5404
297	7930	5376
298	7957	5349
299	7981	5321
300	8010	5296
301	8033	5266
302	8061	5241
303	8085	5213
304	8111	5185
305	8141	5161
306	8166	5133
307	8191	5106
308	8214	5077
309	8235	5047
310	8258	5018
311	8278	4988
312	8298	4958
313	8318	4927
314	8337	4896
315	8361	4868
316	8382	4838
317	8404	4810
318	8425	4780
319	8453	4754
320	8475	4725
321	8501	4699
322	8524	4671
323	8547	4643
324	8575	4617
325	8602	4591
326	8629	4565
327	8654	4538
328	8680	4511
329	8711	4487
330	8736	4460
331	8759	4432
332	8784	4405
333	8809	4378
334	8831	4349
335	8856	4322
336	8875	4292
337	8905	4268
338	8927	4239
339	8952	4212
340	8970	4182
341	8991	4153
342	9012	4125
343	9034	4096
344	9057	4069
345	9077	4040
346	9104	4014
347	9128	3987
348	9153	3960
349	9178	3933
350	9205	3907
351	9229	3880
352	9257	3855
353	9292	3832
354	9316	3805
355	9340	3778
356	9370	3753
357	9391	3725
358	9414	3697
359	9440	3671
360	9460	3642
361	9486	3616
362	9508	3588
363	9533	3561
364	9555	3534
365	9579	3507
366	9603	3480
367	9624	3452
368	9650	3426
369	9674	3399
370	9698	3372
371	9720	3344
372	9741	3316
373	9763	3289
374	9784	3261
375	9809	3235
376	9839	3210
377	9863	3183
378	9888	3157
379	9915	3131
380	9940	3104
381	9971	3080
382	9995	3053
383	10017	3026
384	10041	2999
385	10069	2973
386	10095	2947
387	10121	2921
388	10141	2893
389	10161	2865
390	10183	2838
391	10202	2811
392	10229	2785
393	10251	2758
394	10270	2730
395	10293	2703
396	10317	2676
397	10341	2650
398	10364	2623
399	10383	2595
400	10402	2568
401	10423	2541
402	10442	2513
403	10461	2485
404	10480	2458
405	10499	2430
406	10524	2404
407	10547	2378
408	10567	2351
409	10586	2323
410	10608	2297
411	10632	2271
412	10652	2244
413	10675	2217
414	10698	2191
415	10718	2164
416	10738	2137
417	10760	2110
418	10783	2084
419	10802	2057
420	10823	2031
421	10842	2004
422	10863	1977
423	10882	1950
424	10904	1924
425	10928	1898
426	10954	1872
427	10980	1847
428	10999	1820
429	11020	1794
430	11042	1767
431	11062	1741
432	11081	1714
433	11105	1688
434	11127	1662
435	11146	1636
436	11165	1609
437	11188	1583
438	11209	1557
439	11231	1531
440	11250	1505
441	11276	1479
442	11295	1453
443	11321	1427
444	11345	1402
445	11366	1376
446	11387	1350
447	11407	1324
448	11428	1298
449	11447	1271
